Codigo,Estacion,Ciudad,Latitud,Longitud
3,SOS Aburra Norte - Girardota,Medellin,6.3790379,-75.4509125
4,Institucion Universitaria ITM Robledo,Medellin,6.2755637,-75.5882874
6,Politecnico Colombiano Jaime Isaza Cadavid - Medellin,Medellin,6.2089748,-75.5777664
11,Institucion Educativa Colombia. Girardota,Medellin,6.3785167,-75.4439850
12,Museo de Antioquia,Medellin,6.2525611,-75.5695801
25,Universidad Nacional de Colombia,Medellin,6.2633696,-75.5770035
28,Casa de Justicia Itagui,Medellin,6.1856666,-75.5972061
31,Corporacion La Sallista,Medellin,6.0990806,-75.6386261
37,Universidad San Buenaventura,Medellin,6.3306971,-75.5686722
38,Colegio Concejo de Itagui,Itagüí,6.1684971,-75.6443558
40,Parque de las Aguas,,6.4067135,-75.4194870
41,Universidad de Medellin,Medellin,6.2301841,-75.6099625
43,Tanque Miraflores,Medellin,6.2299724,-75.5491943
44,Tanques La YE,Medellin,6.1825418,-75.5506363
45,Colegio El Rosario - Itagui,Medellin,6.1744723,-75.6102753
46,Exito San Antonio - Medellin,Medellin,6.2493334,-75.5702515
47,Plaza de Mercado Caldas - COPERPLAZA,Medellin,6.0946112,-75.6380005
48,Estacion Metro La Estrella,Medellin,6.1523128,-75.6274872
69,EU Joaquin Aristizabal,Caldas,6.0930777,-75.637764
74,ITM Robledo,Medellin,6.2755637,-75.5882874
78,Hospital,La Estrella,6.1555305,-75.6441727
79,IE Pedro Octavio Amado,Medellin,6.2218938,-75.61060329999999
80,Planta agua EPM,Medellin,6.2589092,-75.5482635
81,Torre Social,Barbosa,6.4369602,-75.3303986
82,Ciudadela Educativa La Vida, Copacabana,6.3453598,-75.5047531
83,IE Pedro Justo Berrio,Medellin,6.2372341,-75.610466
84,IE INEM sede Santa Catalina,Medellin,6.1998701,-75.56095120000001
85,Parque Biblioteca Fernando Boterom,Medellin,6.2778502,-75.6364288 
86,IE Ciro Mendia,Medellin,6.2904806,-75.5555191
87,IE Fernando Velez,Bello,6.3375502,-75.56780240000001
88,ESE Santa gertrudis,Envigado,6.1686831,-75.5819702
90,IE Rafael J Mejia,Sabaneta,6.1433334,-75.62027740000001
92,Policia Los Gomez,Itagui,6.189889,-75.61061100000001
94,Santa Elena,Medellin,6.236361,-75.4984741
