station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station82;Temperature;2019;1;1;23;19.1983333333333
station254;Temperature;2019;1;1;23;20.5421665166667
station319;Temperature;2019;1;1;23;20.9571667
station271;Temperature;2019;1;1;23;21.1938331666667
station349;Temperature;2019;1;1;23;-999
station83;Temperature;2019;1;1;23;18.1933333333333
station68;Temperature;2019;1;1;23;21.005
station197;Temperature;2019;1;1;23;20.8458333166666
station59;Temperature;2019;1;1;23;19.59
station313;Temperature;2019;1;1;23;15.9733333833333
station252;Temperature;2019;1;1;23;20.3405002833333
station206;Temperature;2019;1;1;23;18.5183333333333
station229;Temperature;2019;1;1;23;19.2600001
station322;Temperature;2019;1;1;23;19.5976669
station318;Temperature;2019;1;1;23;19.3699998166667
station105;Temperature;2019;1;1;23;18.5066666666667
station82;Temperature;2019;1;2;0;18.2966666666667
station254;Temperature;2019;1;2;0;19.1926667166667
station319;Temperature;2019;1;2;0;20.7016667166667
station271;Temperature;2019;1;2;0;20.6028335
station349;Temperature;2019;1;2;0;-999
station83;Temperature;2019;1;2;0;17.7466666666667
station68;Temperature;2019;1;2;0;20.695
station197;Temperature;2019;1;2;0;19.3520001166667
station59;Temperature;2019;1;2;0;18.6116666666667
station313;Temperature;2019;1;2;0;15.2698333333333
station252;Temperature;2019;1;2;0;19.5504999
station206;Temperature;2019;1;2;0;17.96
station229;Temperature;2019;1;2;0;18.6781666166667
station322;Temperature;2019;1;2;0;18.6941665833333
station318;Temperature;2019;1;2;0;18.4413335166667
station105;Temperature;2019;1;2;0;17.8633333333334
station82;Temperature;2019;1;2;1;17.5333333333333
station254;Temperature;2019;1;2;1;18.2425002166667
station319;Temperature;2019;1;2;1;19.8681667
station271;Temperature;2019;1;2;1;19.9289998666667
station349;Temperature;2019;1;2;1;-999
station83;Temperature;2019;1;2;1;16.805
station68;Temperature;2019;1;2;1;19.7583333333333
station197;Temperature;2019;1;2;1;18.24833335
station59;Temperature;2019;1;2;1;18.0283333333333
station313;Temperature;2019;1;2;1;15.2681666666667
station252;Temperature;2019;1;2;1;18.4986668
station206;Temperature;2019;1;2;1;17.1833333333333
station229;Temperature;2019;1;2;1;18.1083334166667
station322;Temperature;2019;1;2;1;17.8111666
station318;Temperature;2019;1;2;1;17.62400005
station105;Temperature;2019;1;2;1;17.3933333333333
station82;Temperature;2019;1;2;2;17.1383333333333
station254;Temperature;2019;1;2;2;17.3581666666667
station319;Temperature;2019;1;2;2;18.8616667
station271;Temperature;2019;1;2;2;19.4008336333333
station349;Temperature;2019;1;2;2;-999
station83;Temperature;2019;1;2;2;16.1333333333333
station68;Temperature;2019;1;2;2;19.1066666666667
station197;Temperature;2019;1;2;2;17.5985001
station59;Temperature;2019;1;2;2;17.5483333333333
station313;Temperature;2019;1;2;2;15.034
station252;Temperature;2019;1;2;2;17.9396666666667
station206;Temperature;2019;1;2;2;16.485
station229;Temperature;2019;1;2;2;17.4886667333333
station322;Temperature;2019;1;2;2;16.9211666166667
station318;Temperature;2019;1;2;2;17.0799998333333
station105;Temperature;2019;1;2;2;16.0416666666667
station82;Temperature;2019;1;2;3;16.6333333333333
station254;Temperature;2019;1;2;3;16.6788334333333
station319;Temperature;2019;1;2;3;18.42783305
