station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station82;Wind;2019;1;1;23;1.00833333333333
station254;Wind;2019;1;1;23;1.15116666666667
station319;Wind;2019;1;1;23;0.957
station271;Wind;2019;1;1;23;1.4465
station349;Wind;2019;1;1;23;-999
station83;Wind;2019;1;1;23;0.956666666666667
station68;Wind;2019;1;1;23;3.20166666666667
station197;Wind;2019;1;1;23;1.10783333333333
station59;Wind;2019;1;1;23;0.903333333333333
station313;Wind;2019;1;1;23;1.40583333333333
station252;Wind;2019;1;1;23;2.12466666666667
station206;Wind;2019;1;1;23;0.845
station229;Wind;2019;1;1;23;2.02516666666667
station322;Wind;2019;1;1;23;1.34466666666667
station318;Wind;2019;1;1;23;1.05833333333333
station105;Wind;2019;1;1;23;1.28833333333333
station82;Wind;2019;1;2;0;0.71
station254;Wind;2019;1;2;0;0.700833333333333
station319;Wind;2019;1;2;0;0.418666666666667
station271;Wind;2019;1;2;0;0.759833333333333
station349;Wind;2019;1;2;0;-999
station83;Wind;2019;1;2;0;1.01166666666667
station68;Wind;2019;1;2;0;2.7
station197;Wind;2019;1;2;0;1.2085
station59;Wind;2019;1;2;0;0.91
station313;Wind;2019;1;2;0;1.373
station252;Wind;2019;1;2;0;1.81716666666667
station206;Wind;2019;1;2;0;0.88
station229;Wind;2019;1;2;0;0.941
station322;Wind;2019;1;2;0;0.847
station318;Wind;2019;1;2;0;1.104
station105;Wind;2019;1;2;0;1.62166666666667
station82;Wind;2019;1;2;1;0.691666666666667
station254;Wind;2019;1;2;1;0.626166666666667
station319;Wind;2019;1;2;1;0.452666666666667
station271;Wind;2019;1;2;1;0.826
station349;Wind;2019;1;2;1;-999
station83;Wind;2019;1;2;1;0.971666666666667
station68;Wind;2019;1;2;1;1.99666666666667
station197;Wind;2019;1;2;1;1.44783333333333
station59;Wind;2019;1;2;1;1.36666666666667
station313;Wind;2019;1;2;1;1.47366666666667
station252;Wind;2019;1;2;1;2.60433333333333
station206;Wind;2019;1;2;1;0.643333333333333
station229;Wind;2019;1;2;1;0.939666666666666
station322;Wind;2019;1;2;1;0.694166666666666
station318;Wind;2019;1;2;1;1.15533333333333
station105;Wind;2019;1;2;1;1.42833333333333
station82;Wind;2019;1;2;2;0.786666666666667
station254;Wind;2019;1;2;2;0.5195
station319;Wind;2019;1;2;2;0.664833333333333
station271;Wind;2019;1;2;2;0.722166666666667
station349;Wind;2019;1;2;2;-999
station83;Wind;2019;1;2;2;1.13
station68;Wind;2019;1;2;2;1.85333333333333
station197;Wind;2019;1;2;2;1.06266666666667
station59;Wind;2019;1;2;2;0.9
station313;Wind;2019;1;2;2;1.64066666666667
station252;Wind;2019;1;2;2;2.79466666666667
station206;Wind;2019;1;2;2;0.61
station229;Wind;2019;1;2;2;0.6605
station322;Wind;2019;1;2;2;0.885833333333333
station318;Wind;2019;1;2;2;1.03183333333333
station105;Wind;2019;1;2;2;1.13666666666667
station82;Wind;2019;1;2;3;0.56
station254;Wind;2019;1;2;3;0.700666666666667
station319;Wind;2019;1;2;3;0.4575
station271;Wind;2019;1;2;3;0.559333333333334
station349;Wind;2019;1;2;3;-999
