,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-01-01 00:00:00,3,-9964.0,4.1964,-9999.0,1.0,-9999.0,1.0,2.4,-1.0,12.6,-1.0,15.0,-1.0,8.6,-1.0,0.78,-1.0,14.3,-1.0,-9999.0,1.0,345.803,1.0,73.2718,1.0,642.594,1.0,0.0,1.0,0.0,1.0,21.8083,1.0,0.358445,1.0
2016-01-01 01:00:00,3,90.0,-1.0,-9999.0,1.0,-9999.0,1.0,6.2,-1.0,17.0,-1.0,23.2,-1.0,4.2,-1.0,1.03,-1.0,9.4,-1.0,-9999.0,1.0,90.2327,1.0,76.8306,1.0,642.277,1.0,0.0,1.0,0.0,1.0,20.972,1.0,0.564717,1.0
2016-01-01 02:00:00,3,50.0,-1.0,-9999.0,1.0,-9999.0,1.0,5.0,-1.0,13.6,-1.0,18.6,-1.0,5.3,-1.0,0.7,-1.0,9.1,-1.0,-9999.0,1.0,80.0836,1.0,79.1169,1.0,642.002,1.0,0.0,1.0,0.0,1.0,20.5458,1.0,0.685484,1.0
2016-01-01 03:00:00,3,58.0,-1.0,-9999.0,1.0,-9999.0,1.0,2.7,-1.0,15.2,-1.0,17.9,-1.0,2.7,-1.0,0.72,-1.0,7.0,-1.0,-9999.0,1.0,256.724,1.0,84.1147,1.0,641.426,1.0,0.0,1.0,0.0,1.0,19.5048,1.0,0.328205,1.0
2016-01-01 04:00:00,3,42.0,-1.0,-9999.0,1.0,-9999.0,1.0,3.6,-1.0,13.6,-1.0,17.1,-1.0,1.9,-1.0,0.74,-1.0,5.8,-1.0,-9999.0,1.0,222.519,1.0,85.846,1.0,641.376,1.0,0.0,1.0,0.0,1.0,18.8484,1.0,0.0630652,1.0
2016-01-01 05:00:00,3,44.0,-1.0,-9999.0,1.0,-9999.0,1.0,7.2,-1.0,12.8,-1.0,20.0,-1.0,1.6,-1.0,0.82,-1.0,6.9,-1.0,-9999.0,1.0,72.8568,1.0,83.6546,1.0,641.9,1.0,0.0,1.0,0.0,1.0,18.8189,1.0,0.478902,1.0
2016-01-01 06:00:00,3,39.0,-1.0,-9999.0,1.0,-9999.0,1.0,9.1,-1.0,11.8,-1.0,20.9,-1.0,1.1,-1.0,0.74,-1.0,6.4,-1.0,-9999.0,1.0,223.495,1.0,86.8273,1.0,642.302,1.0,0.0,1.0,0.0,1.0,18.3324,1.0,0.302458,1.0
2016-01-01 07:00:00,3,41.0,-1.0,-9999.0,1.0,-9999.0,1.0,10.8,-1.0,11.5,-1.0,22.2,-1.0,1.6,-1.0,0.7,-1.0,8.1,-1.0,-9999.0,1.0,293.835,1.0,86.5936,1.0,642.674,1.0,0.0,1.0,6.55543,1.0,18.437,1.0,0.25635,1.0
2016-01-01 08:00:00,3,39.0,-1.0,-9999.0,1.0,-9999.0,1.0,33.5,-1.0,13.6,-1.0,47.1,-1.0,3.0,-1.0,0.81,-1.0,22.5,-1.0,-9999.0,1.0,56.2593,1.0,82.3533,1.0,643.204,1.0,0.0,1.0,95.0946,1.0,19.6958,1.0,0.776596,1.0
2016-01-01 09:00:00,3,26.0,-1.0,-9999.0,1.0,-9999.0,1.0,21.7,-1.0,9.7,-1.0,31.4,-1.0,7.6,-1.0,0.62,-1.0,35.2,-1.0,-9999.0,1.0,54.1226,1.0,73.3854,1.0,643.58,1.0,0.0,1.0,346.8,1.0,21.8288,1.0,1.25745,1.0
